term,term_type,importance
term_months,main_effect,0.22652759048687535
loan_amnt,main_effect,0.17009423780937005
acc_open_past_24mths,main_effect,0.16118941492706326
grade_A,main_effect,0.15408879209421025
dti,main_effect,0.15397664028830801
total_acc,main_effect,0.1210887834109315
int_rate,main_effect,0.10471512571910208
grade_B,main_effect,0.10331431158799564
total_il_high_credit_limit,main_effect,0.09945908255836738
fico_score,main_effect,0.09175831235888023
annual_inc,main_effect,0.08181429862678966
open_acc,main_effect,0.08106011908535726
revol_util,main_effect,0.0738049838392418
grade_D,main_effect,0.0694036442669112
revol_bal,main_effect,0.06739062269808009
mort_acc,main_effect,0.0621063785247851
avg_cur_bal,main_effect,0.058829109709879784
home_ownership_RENT,main_effect,0.05660347109867207
inq_last_6mths,main_effect,0.05584221489063898
home_ownership_MORTGAGE,main_effect,0.05117091852412805
emp_length_missing,main_effect,0.04995686079629936
grade_E,main_effect,0.049809826897892734
total_bal_ex_mort,main_effect,0.04927692468743964
bc_util,main_effect,0.047448575882189696
total_bc_limit,main_effect,0.047008480483798576
installment,main_effect,0.045828009592654276
bc_open_to_buy,main_effect,0.04531000974890318
delinq_2yrs,main_effect,0.042200288036861544
grade_C,main_effect,0.03476975942247248
credit_history_months,main_effect,0.03460754779547749
purpose_credit_card,main_effect,0.03410644011104309
purpose_debt_consolidation,main_effect,0.03204171434082214
verification_status_Not Verified,main_effect,0.02554965713103948
verification_status_Source Verified,main_effect,0.023211062110184724
grade_F,main_effect,0.020648536093086544
initial_list_status_f,main_effect,0.016789184848753955
initial_list_status_w,main_effect,0.016687531613470488
emp_length_num,main_effect,0.01667850583626813
addr_state_NY,main_effect,0.014480221100711782
addr_state_WA,main_effect,0.013421754281704192
addr_state_CO,main_effect,0.012033118974927601
pub_rec_bankruptcies,main_effect,0.011631077145878903
pub_rec,main_effect,0.011411169625521479
addr_state_OR,main_effect,0.010897414827101113
purpose_small_business,main_effect,0.010703005409799649
addr_state_GA,main_effect,0.006928351325049148
addr_state_FL,main_effect,0.00640841406467806
grade_G,main_effect,0.0062665666076479115
addr_state_NJ,main_effect,0.0052476783599401415
addr_state_SC,main_effect,0.00501288475898332
addr_state_OK,main_effect,0.0049533420158334625
purpose_other,main_effect,0.004602383482368836
home_ownership_OWN,main_effect,0.004495186849302661
addr_state_LA,main_effect,0.0037540468506118544
addr_state_AL,main_effect,0.0037046194685120717
addr_state_IL,main_effect,0.0036374468298922607
addr_state_UT,main_effect,0.003245684194088357
purpose_home_improvement,main_effect,0.003170576038165246
purpose_moving,main_effect,0.0031179807838129427
addr_state_NC,main_effect,0.003009888715762345
purpose_car,main_effect,0.0029507798347085867
purpose_medical,main_effect,0.0028301191914235327
addr_state_AR,main_effect,0.0026636728501736795
addr_state_KS,main_effect,0.0026383203400882206
addr_state_CA,main_effect,0.0026258253578801288
addr_state_NH,main_effect,0.00259890407524026
verification_status_Verified,main_effect,0.0025898744071220846
addr_state_WV,main_effect,0.0025849614281028997
addr_state_MN,main_effect,0.0023950512451187686
addr_state_CT,main_effect,0.002361485285476114
addr_state_WI,main_effect,0.0023348556209077057
addr_state_OH,main_effect,0.002176345255879683
addr_state_NV,main_effect,0.0021363840477762346
purpose_vacation,main_effect,0.002038749033500091
addr_state_MD,main_effect,0.002016306662932562
addr_state_IN,main_effect,0.001827066544771661
purpose_major_purchase,main_effect,0.0017324935441669531
addr_state_MS,main_effect,0.0016291247551605196
addr_state_VA,main_effect,0.001568013374631198
purpose_wedding,main_effect,0.0015206171483372955
addr_state_MO,main_effect,0.0013963793595068192
addr_state_DC,main_effect,0.0013725610603652068
addr_state_ME,main_effect,0.0013057930389921886
addr_state_VT,main_effect,0.0012577840545980473
addr_state_NM,main_effect,0.001242762739105675
application_type_Joint App,main_effect,0.001058483870088817
application_type_Individual,main_effect,0.0009947384995388578
addr_state_RI,main_effect,0.0009781412550796827
purpose_house,main_effect,0.0009699007578441392
addr_state_TX,main_effect,0.0008653667010547181
addr_state_PA,main_effect,0.0007988967480140656
addr_state_NE,main_effect,0.0006731236443503881
addr_state_HI,main_effect,0.0006255970964369874
addr_state_SD,main_effect,0.0005474789156667977
addr_state_KY,main_effect,0.0005149884438931166
addr_state_WY,main_effect,0.00045641590600730683
addr_state_MI,main_effect,0.0004552417625190567
disbursement_method_Cash,main_effect,0.00040510372169287156
disbursement_method_DirectPay,main_effect,0.00040166898220970635
addr_state_MA,main_effect,0.0003486133073118542
purpose_educational,main_effect,0.00033267525134342214
addr_state_AZ,main_effect,0.00028452999487595446
purpose_renewable_energy,main_effect,0.0002754969593642867
addr_state_ID,main_effect,0.00013152148270472938
addr_state_DE,main_effect,0.00010995440127532014
addr_state_TN,main_effect,0.00010279126519498744
home_ownership_ANY,main_effect,9.554373077053588e-05
addr_state_AK,main_effect,9.009194537933752e-05
addr_state_ND,main_effect,4.413182405287151e-05
addr_state_MT,main_effect,3.944414803058705e-05
home_ownership_infrequent_sklearn,main_effect,5.17368387445872e-06
addr_state_infrequent_sklearn,main_effect,7.555336419685268e-08
