feature,missing_rate
emp_length_num,0.058218
avg_cur_bal,0.05214
total_il_high_credit_limit,0.052122
bc_util,0.047886
bc_open_to_buy,0.047318
total_bc_limit,0.03712
total_bal_ex_mort,0.03712
acc_open_past_24mths,0.03712
mort_acc,0.03712
pub_rec_bankruptcies,0.001004
revol_util,0.00069
dti,0.000688
delinq_2yrs,2.8e-05
total_acc,2.8e-05
pub_rec,2.8e-05
open_acc,2.8e-05
inq_last_6mths,2.8e-05
credit_history_months,2.8e-05
annual_inc,4e-06
emp_length_missing,0.0
addr_state,0.0
initial_list_status,0.0
home_ownership,0.0
verification_status,0.0
purpose,0.0
application_type,0.0
loan_amnt,0.0
grade,0.0
term_months,0.0
int_rate,0.0
installment,0.0
revol_bal,0.0
fico_score,0.0
disbursement_method,0.0
